MajorLinkerVersion,MinorOperatingSystemVersion,MajorSubsystemVersion,SizeOfStackReserve,TimeDateStamp,MajorOperatingSystemVersion,Characteristics,ImageBase,Subsystem,MinorImageVersion,MinorSubsystemVersion,SizeOfInitializedData,DllCharacteristics,DirectoryEntryExport,ImageDirectoryEntryExport,CheckSum,DirectoryEntryImportSize,SectionMaxChar,MajorImageVersion,AddressOfEntryPoint,SectionMinEntropy,SizeOfHeaders,SectionMinVirtualsize,malware
6,0,4,1048576,1300808170,4,271,4194304,2,0,0,71680,0,0,0,100669,5,3221225536,0,5538,5.820427061,1024,3020,1
6,0,4,1048576,1347005934,4,271,4194304,2,0,0,10752,0,0,0,81771,8,3221225536,0,13630,4.623023364,1024,2812,1
6,0,4,1048576,1431417406,4,271,4194304,2,0,0,28672,0,0,0,0,1,3221225536,0,12324,0.92570688,4096,3810,1
12,1,5,1048576,1431012558,5,258,4194304,2,0,1,4096,33088,0,0,0,6,3758096512,0,143680,0,4096,4096,1
9,0,5,1048576,1407911349,5,259,4194304,2,0,0,0,33024,0,0,1373077,16,3892314144,0,1700220,3.071551203,1024,4096,1
6,0,4,1048576,1358257633,4,271,4194304,2,5,0,122880,0,0,0,214383,1,3221225536,1,4532,0,4096,3904,1
12,1,5,1048576,1431012558,5,258,4194304,2,0,1,48640,33088,0,0,0,6,3221225536,0,19963,3.3736549,1024,480,1
9,0,5,1048576,1375539200,5,258,4194304,2,0,0,515072,33088,0,0,574629,2,3221225536,0,13724,2.364675779,1024,7520,1
9,0,5,1048576,1358270404,5,259,4194304,2,0,0,323584,32768,0,0,361626,3,3221225536,0,5984,0,1024,100,1
6,0,4,1048576,1409023365,4,271,4194304,2,0,0,12288,0,0,0,0,13,3758096512,0,186240,0,4096,12288,1
9,0,5,1048576,1375539200,5,258,4194304,2,0,0,515072,33088,0,0,574629,2,3221225536,0,13724,2.364675779,1024,7520,1
6,0,4,1048576,1300808170,4,271,4194304,2,0,0,71680,0,0,0,100669,5,3221225536,0,5538,5.820427061,1024,3020,1
6,0,4,1048576,1279145012,4,271,4194304,2,0,0,176128,0,0,0,0,5,3758096416,0,204800,3.649224583,4096,1952,1
6,0,4,1048576,1117368729,4,271,4194304,2,0,0,4096,0,0,0,0,8,3758096512,0,387440,0,4096,4096,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,98816,0,0,0,0,4,3758096480,0,143360,5.651609723,1024,4096,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,10752,0,0,0,0,6,3758096480,0,38225,7.595894144,512,38400,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,4096,0,0,0,0,10,3758096512,0,327680,0,4096,4096,1
6,0,4,1048576,1186625010,4,271,4194304,2,0,0,4096,0,0,0,0,2,3758096512,0,93232,0,4096,4096,1
8,0,4,1048576,1358077738,4,34,4194304,2,0,0,2048,34112,0,0,0,1,1610612768,0,14982,0.081539412,512,12,1
6,0,4,1048576,1369498968,4,271,4194304,2,0,0,24576,0,0,0,0,5,3221225536,0,17832,1.208016138,4096,3768,1
2,0,4,2097152,1314719184,4,783,4194304,2,0,0,19456,32768,0,0,0,8,3224371328,6,17191,0,1024,140,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,53248,0,0,0,0,15,3758096480,0,200704,0,4096,1802,1
11,0,5,1048576,1325611315,5,271,4194304,2,0,0,761344,0,0,0,2147483648,3,3221225536,0,4572,0,1024,1160,1
6,0,4,1048576,1407234152,4,271,4194304,2,0,0,28672,0,0,0,0,5,3758096512,0,157552,0,4096,28672,1
6,0,4,1048576,1407234152,4,271,4194304,2,0,0,28672,0,0,0,0,5,3758096512,0,157552,0,4096,28672,1
6,0,4,1048576,1379601659,4,271,4194304,2,0,0,32768,0,0,0,0,6,3221226048,0,38675,0.037054976,4096,24,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,49152,0,0,0,0,15,3758096480,0,176128,3.942479237,4096,3392,1
10,1,5,1048576,1259933759,5,259,4194304,2,0,1,53248,32768,0,0,0,0,3758096512,0,1876119,0,4096,81920,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,57344,0,0,0,0,0,3758096480,0,93898,0,4096,14634,1
10,0,5,4194304,1327872748,5,291,4194304,2,0,0,32768,32768,0,0,0,16,3758096512,0,757360,0,4096,32768,1
6,0,4,1048576,1394798517,4,271,4194304,2,0,0,16384,0,0,0,0,8,3758096512,0,116000,0,4096,16384,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,32768,0,0,0,0,13,3758096480,0,204800,3.072644522,4096,4096,1
6,0,4,1048576,1259933759,4,271,4194304,2,0,0,303104,0,0,0,0,6,3758096480,0,376832,0,4096,3864,1
6,0,4,1048576,1151611889,4,271,4194304,2,0,0,4096,0,0,0,34119,1,3758096608,0,45152,0,4096,4096,1
6,0,4,1048576,1279145012,4,271,4194304,2,0,0,176128,0,0,0,0,5,3758096416,0,204800,3.649224583,4096,1952,1
48,0,4,1048576,2339982947,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,357934,0.101910426,512,12,1
48,0,4,1048576,2497499912,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,357238,0.101910426,512,12,1
48,0,4,1048576,3015163211,4,34,4194304,2,0,0,119808,34112,0,0,10661794,1,1610612768,0,10543274,0.101910426,512,12,1
48,0,4,1048576,2749713659,4,34,4194304,2,0,0,119808,34112,0,0,0,1,1610612768,0,10542570,0.101910426,512,12,1
48,0,4,1048576,3073502606,4,34,4194304,2,0,0,117248,34112,0,0,0,1,1610612768,0,254670,0.101910426,512,12,1
48,0,4,1048576,2742239886,4,290,4194304,2,0,0,113664,34112,0,0,0,1,3758096448,0,221194,0.098004176,1024,12,1
48,0,4,1048576,3546843061,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,28802,0.081539412,512,12,1
48,0,4,1048576,3141283386,4,34,4194304,2,0,0,72704,34112,0,0,0,1,1610612768,0,6062066,0.101910426,512,12,1
48,0,4,1048576,3155437302,4,290,4194304,2,0,0,129536,34112,0,0,0,1,3758096448,0,221194,0.098004176,1024,12,1
48,0,4,1048576,4240935608,4,34,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,23878946,0.122275881,512,12,1
48,0,4,1048576,3696912713,4,290,4194304,2,0,0,104960,34112,0,0,0,1,3758096448,0,221194,0.098004176,1024,12,1
48,0,4,1048576,3059759928,4,34,4194304,2,0,0,102912,34112,0,0,0,1,1610612768,0,342206,0.101910426,512,12,1
48,0,4,1048576,2525777457,4,34,4194304,2,0,0,231424,34112,0,0,0,1,3758096448,0,409610,0.098004176,1024,12,1
48,0,4,1048576,4289334777,4,290,4194304,2,0,0,201728,34112,0,0,0,1,3758096448,0,335882,0.098004176,1024,12,1
48,0,4,1048576,3679701596,4,34,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,246746,0.101910426,512,12,1
48,0,4,1048576,3677673309,4,34,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,32690,0.081539412,512,12,1
11,0,4,1048576,1656389691,4,290,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,249166,0.101910426,512,12,1
48,0,4,1048576,3858399772,4,258,4194304,2,0,0,338944,34112,0,0,0,1,3758096448,0,442378,0.098004176,1024,12,1
48,0,4,1048576,3513984145,4,290,4194304,2,0,0,77312,34112,0,0,0,1,3758096448,0,180234,0.098004176,1024,12,1
48,0,4,1048576,3720633648,4,290,4194304,2,0,0,98304,34112,0,0,0,1,3758096448,0,221194,0.098004176,1024,12,1
48,0,4,1048576,2353437947,4,290,4194304,2,0,0,111104,34112,0,0,0,1,3758096448,0,213002,0.098004176,1024,12,1
48,0,4,1048576,3337187738,4,290,4194304,2,0,0,120320,34112,0,0,0,1,3758096448,0,253962,0.098004176,1024,12,1
48,0,4,1048576,4143766838,4,34,4194304,2,0,0,194048,34112,0,0,0,1,1610612768,0,10543430,0.101910426,512,12,1
48,0,4,1048576,2749713659,4,34,4194304,2,0,0,119808,34112,0,0,0,1,1610612768,0,10542570,0.101910426,512,12,1
48,0,4,1048576,4143766838,4,34,4194304,2,0,0,194048,34112,0,0,0,1,1610612768,0,10543430,0.101910426,512,12,1
48,0,4,1048576,2749713659,4,34,4194304,2,0,0,119808,34112,0,0,0,1,1610612768,0,10542570,0.101910426,512,12,1
48,0,4,1048576,3645498049,4,34,4194304,2,0,0,70144,34112,0,0,0,1,1610612768,0,5888434,0.101910426,512,12,1
48,0,4,1048576,3645498049,4,34,4194304,2,0,0,70144,34112,0,0,0,1,1610612768,0,5888434,0.101910426,512,12,1
48,0,4,1048576,3141283386,4,34,4194304,2,0,0,72704,34112,0,0,0,1,1610612768,0,6062066,0.101910426,512,12,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,96256,0,0,0,225791,13,3221225536,0,77280,0,1024,12,1
48,0,4,1048576,3710028107,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,28769782,0.122275881,512,12,1
48,0,4,1048576,2532583595,4,34,4194304,2,0,0,106496,34112,0,0,0,1,1610612768,0,41824422,0.118369631,512,12,1
48,0,4,1048576,2750332093,4,290,4194304,2,0,0,89088,34112,0,0,0,1,3758096448,0,221194,0.098004176,1024,12,1
48,0,4,1048576,2639306433,4,290,4194304,2,0,0,36352,34112,0,0,0,1,3758096448,0,59940874,0.118369631,1024,12,1
48,0,4,1048576,4064072819,4,290,4194304,2,0,0,240640,34112,0,0,0,1,3758096448,0,434186,0.098004176,1024,12,1
48,0,4,1048576,2697682097,4,34,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,32267758,0.122275881,512,12,1
48,0,4,1048576,3599063338,4,34,4194304,2,0,0,275456,34112,0,0,0,1,1610612768,0,32058518,0.122275881,512,12,1
48,0,4,1048576,2390920207,4,34,4194304,2,0,0,37376,34112,0,0,0,1,1610612768,0,52538,0.081539412,512,12,1
48,0,4,1048576,2742239886,4,34,4194304,2,0,0,37376,34112,0,0,0,1,1610612768,0,50242,0.081539412,512,12,1
48,0,4,1048576,2390920207,4,34,4194304,2,0,0,37376,34112,0,0,0,1,1610612768,0,52538,0.081539412,512,12,1
48,0,4,1048576,2742239886,4,34,4194304,2,0,0,37376,34112,0,0,0,1,1610612768,0,50242,0.081539412,512,12,1
48,0,4,1048576,3546843061,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,28802,0.081539412,512,12,1
48,0,4,1048576,3546843061,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,28802,0.081539412,512,12,1
48,0,4,1048576,3546843061,4,34,4194304,2,0,0,109568,34112,0,0,0,1,1610612768,0,28802,0.081539412,512,12,1
48,0,4,1048576,3402370455,4,290,4194304,2,0,0,139776,34112,0,0,0,1,3758096448,0,237578,0.098004176,1024,12,1
48,0,4,1048576,3814113402,4,34,4194304,2,0,0,2048,34112,0,0,0,1,1610612768,0,28326,0.081539412,512,12,1
48,0,4,1048576,3814113402,4,34,4194304,2,0,0,2048,34112,0,0,0,1,1610612768,0,28326,0.081539412,512,12,1
48,0,4,1048576,3059759928,4,34,4194304,2,0,0,102912,34112,0,0,0,1,1610612768,0,342206,0.101910426,512,12,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,236032,0,0,0,314583,13,3221225536,0,77280,0,1024,12,1
11,0,4,1048576,1690806526,4,290,4194304,2,0,0,56320,34112,0,0,0,1,1610612768,0,305294,0.101910426,512,12,1
48,0,4,1048576,3468908462,4,34,4194304,2,0,0,26112,34112,0,0,0,1,1610612768,0,74450,0.101910426,512,12,1
48,0,4,1048576,3156690214,4,34,4194304,2,0,0,26112,34112,0,0,0,1,1610612768,0,77174,0.101910426,512,12,1
48,0,4,1048576,3468908462,4,34,4194304,2,0,0,26112,34112,0,0,0,1,1610612768,0,74450,0.101910426,512,12,1
48,0,4,1048576,3156690214,4,34,4194304,2,0,0,26112,34112,0,0,0,1,1610612768,0,77174,0.101910426,512,12,1
48,0,4,1048576,3468908462,4,34,4194304,2,0,0,26112,34112,0,0,0,1,1610612768,0,74450,0.101910426,512,12,1
48,0,4,1048576,2916466445,4,34,4194304,2,0,0,2048,34112,0,0,0,1,1610612768,0,18994,0.081539412,512,12,1
6,0,4,1048576,1255524354,4,271,4194304,2,0,0,32768,0,0,0,0,5,3221225536,0,13982,3.527144957,4096,3190,1
6,0,4,1048576,1493951686,4,271,4194304,2,0,0,4927488,0,0,0,0,6,3221225536,0,20928,0,4096,2398,1
6,0,4,1048576,1493951686,4,271,4194304,2,0,0,4927488,0,0,0,0,6,3221225536,0,20928,3.23393727,4096,2398,1
6,0,4,1048576,1493372819,4,271,4194304,2,0,0,4927488,0,0,0,0,6,3221225536,0,20416,2.936544469,4096,2158,1
6,0,4,1048576,1493951686,4,271,4194304,2,0,0,4927488,0,0,0,0,6,3221225536,0,20928,0,4096,2398,1
8,0,5,524288,1236512358,6,34,4294967296,2,0,2,189440,32832,0,0,295281,152,3758096608,6,51316,0,1024,274,1
9,0,5,1048576,1365109591,5,258,4194304,2,0,0,139264,33088,0,0,0,311,3791650880,0,84654,3.815280875,1024,24124,1
6,0,4,1048576,1438777028,4,14,4194304,2,0,0,20480,0,0,0,0,176,3221225536,0,27364,0.103538231,4096,329,1
2,0,4,2097152,1354629311,4,783,4194304,2,0,0,28160,32768,0,0,14174816,155,3224371328,6,16685,0,1024,144,1
2,0,4,2097152,1386631250,4,783,4194304,2,0,0,89600,0,0,0,0,43,3227516992,1,4416,0,1024,24,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,15360,0,0,0,678445944,96,3221225536,0,40000,0,1024,8,1
10,1,5,1048576,1391514521,5,258,4194304,2,0,1,282112,33088,0,0,2018190664,74,3221225536,0,5494,2.104846359,1024,3964,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,13824,32768,0,0,500842,96,3221225536,6,42488,0,1024,8,1
10,1,5,1048576,1412168525,5,259,4194304,2,0,1,162816,33024,16,533872,943322,329,3221225536,0,242287,1.069485762,1024,3916,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,318976,34112,0,0,385997,41,3221225536,6,5339,0,1024,348,1
11,2,5,262144,1426068823,6,8450,65536,1,2,1,20992,448,0,0,191011,129,3355443264,6,24384,1.588010312,1024,322,1
8,0,4,1048576,1204848333,4,259,4194304,2,0,0,610304,0,0,0,923773,627,3221225536,0,221063,2.923004119,4096,6376,1
9,0,5,1048576,1408580724,5,259,4194304,2,0,0,841728,32768,0,0,0,115,3221225536,0,53282,4.683234229,1024,10306,1
9,1,5,262144,1253844286,6,34,65536,1,1,2,46080,0,0,0,332591,97,3791650848,6,242652,0.267012978,1024,56,1
6,0,4,1048576,1300732890,4,8462,268435456,2,0,0,4096,0,2,49440,0,8,3758096512,0,48240,0,4096,4096,1
11,1,5,1048576,1392230476,5,258,4194304,2,0,1,130048,33088,0,0,213271,105,3221225536,0,15741,2.718343888,1024,14104,1
7,0,4,1048576,1165628186,4,271,4194304,2,0,0,245760,0,0,0,0,204,3221225536,0,141443,3.31905371,4096,14144,1
6,0,4,1048576,1013346937,4,271,4194304,2,0,0,0,0,0,0,0,2,3758096416,0,4160,1.866083072,512,77824,1
